Application_order,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
5,1,122.0,127.3,1,0,1,1,0,0,0,0,0.0,0,0,0,0.0,1
1,1,160.0,142.5,1,0,0,1,0,0,6,6,14.0,0,6,6,13.666666666666666,0
5,1,122.0,124.8,1,0,0,1,0,0,6,0,0.0,0,6,0,0.0,1
2,1,122.0,119.6,1,0,1,0,0,0,6,6,13.428571428571429,0,6,5,12.4,0
1,0,100.0,141.5,0,0,1,0,0,0,6,5,12.333333333333334,0,6,6,13.0,0
1,0,133.1,114.8,0,1,1,1,0,0,5,5,11.857142857142858,0,5,5,11.5,0
1,1,142.0,128.4,1,0,1,0,1,0,7,7,13.3,0,8,8,14.345,0
4,1,119.0,113.1,1,0,0,1,0,0,5,0,0.0,0,5,0,0.0,1
3,1,137.0,129.3,0,0,1,0,1,0,6,6,13.875,0,6,6,14.142857142857142,0
1,1,138.0,123.0,1,1,0,0,0,0,6,5,11.4,0,6,2,13.5,1
1,1,139.0,130.6,1,0,1,0,0,0,6,6,12.333333333333334,0,6,5,14.2,0
1,1,136.0,119.3,1,0,1,0,1,0,8,7,13.214285714285714,0,8,7,13.214285714285714,0
2,1,133.0,130.2,1,0,1,0,0,0,6,0,0.0,0,6,0,0.0,1
1,1,110.0,111.8,1,0,1,0,1,0,6,6,10.571428571428571,0,6,5,11.0,0
1,1,149.0,137.1,1,0,1,0,1,0,5,4,13.25,0,5,5,12.0,0
1,1,127.0,120.7,1,0,1,0,0,0,6,5,13.2,0,6,0,0.0,1
2,1,135.0,127.3,1,0,1,0,0,0,7,7,13.30625,0,8,8,14.545,0
1,1,137.0,136.3,1,0,1,0,0,0,5,4,12.5,0,5,4,12.25,0
3,1,122.0,120.3,0,0,1,0,1,0,0,0,0.0,0,0,0,0.0,0
4,1,142.0,125.5,1,0,1,0,0,0,8,7,12.857142857142858,0,8,7,12.857142857142858,0
4,1,125.0,114.9,1,0,1,0,1,0,6,6,13.375,0,6,6,12.285714285714286,0
1,1,126.0,123.9,0,0,1,0,0,0,7,6,13.296666666666669,0,8,7,14.114285714285714,0
2,1,115.0,116.4,1,0,1,0,0,0,6,6,11.375,0,6,6,13.285714285714286,0
1,1,135.0,122.1,1,0,1,0,0,0,5,5,12.0,0,5,5,12.333333333333334,0
1,1,125.0,130.0,1,0,1,1,0,2,6,6,12.833333333333334,0,6,4,13.4,0
1,0,138.0,134.5,1,0,1,0,0,0,6,6,12.666666666666666,0,6,6,14.375,0
1,0,130.0,131.4,0,0,1,1,0,0,5,5,12.4,0,5,5,13.428571428571429,0
1,1,130.0,102.5,0,1,0,1,0,0,7,0,0.0,0,7,1,10.0,1
1,1,133.1,128.8,1,0,1,1,0,0,5,0,0.0,0,5,0,0.0,1
1,1,140.0,122.9,0,0,1,0,0,0,5,1,10.0,0,5,2,12.0,1
1,0,120.0,113.9,1,0,1,0,0,0,5,5,11.0,0,5,5,11.6,0
1,1,120.0,120.0,0,1,0,0,0,2,6,3,11.666666666666666,1,6,3,12.0,1
5,1,126.0,121.1,0,1,1,0,0,0,6,4,12.75,0,5,0,0.0,1
2,1,133.0,120.4,1,0,1,0,0,0,5,5,14.8,0,5,5,15.8,0
6,1,103.0,100.6,1,0,1,0,0,0,7,5,13.928,0,8,7,14.342857142857142,0
1,1,120.0,121.4,0,0,0,0,0,0,6,4,13.0,0,6,5,13.8,1
1,0,133.1,109.7,0,0,1,0,0,0,5,0,0.0,0,5,0,0.0,1
2,1,130.0,127.6,1,0,1,0,0,0,6,6,11.666666666666666,0,6,5,13.2,0
6,1,132.0,132.4,1,0,1,0,1,0,7,6,13.516666666666666,0,8,7,13.771428571428572,0
1,0,130.0,133.4,0,0,1,0,1,3,6,6,11.5,2,6,6,13.285714285714286,0
1,1,139.0,126.1,0,0,1,0,1,0,6,5,12.333333333333334,0,6,6,12.833333333333334,0
1,1,130.0,113.5,0,0,1,0,1,0,6,6,13.666666666666666,0,6,6,14.166666666666666,0
3,1,167.0,159.3,0,0,1,0,0,0,5,5,14.714285714285714,0,5,5,15.8,0
1,0,130.0,120.0,0,0,1,0,0,0,5,5,10.6,0,5,5,11.0,1
1,1,130.0,129.1,1,0,1,0,0,0,7,7,13.044444444444444,0,8,8,13.595,0
1,1,130.0,130.0,0,0,1,0,0,0,6,0,0.0,0,6,0,0.0,1
1,1,129.0,155.3,1,0,1,0,0,0,6,5,13.0,5,11,10,12.9,1
1,1,141.0,139.8,1,0,1,0,0,0,8,8,14.935,0,8,8,14.935,0
2,1,125.0,114.9,0,0,1,0,0,0,7,6,13.133333333333333,0,8,7,12.221428571428572,0
1,1,130.0,131.9,0,0,1,0,1,3,6,6,12.0,2,6,6,12.0,0
1,1,133.1,126.0,1,0,1,1,0,2,7,5,11.9,1,8,5,11.0,1
3,1,139.0,128.2,1,0,1,1,1,0,0,0,0.0,0,0,0,0.0,0
1,1,130.0,130.0,1,0,1,1,0,0,6,6,12.571428571428571,0,6,6,12.428571428571429,0
3,1,125.0,120.1,0,1,1,1,0,0,5,5,11.2,0,5,4,10.75,1
1,1,150.0,130.8,0,0,1,1,0,0,7,7,11.975,0,8,8,13.75,0
1,1,141.0,135.8,1,0,1,1,0,0,0,0,0.0,0,0,0,0.0,1
4,1,118.0,111.7,1,0,1,1,0,0,6,3,11.666666666666666,0,6,1,12.0,1
2,1,142.0,132.9,1,0,1,1,0,0,6,6,12.333333333333334,0,6,3,12.333333333333334,0
3,1,120.0,115.5,1,1,1,1,0,0,5,3,10.333333333333334,0,5,3,10.857142857142858,1
4,1,106.0,106.0,1,0,1,1,1,0,6,4,10.5,0,6,1,11.0,1
4,1,121.0,120.3,1,1,1,1,1,0,6,6,13.666666666666666,0,6,6,13.333333333333334,0
4,1,150.0,130.8,0,0,1,1,1,0,7,7,14.842857142857142,0,8,8,15.055555555555555,0
1,0,120.0,117.0,0,0,1,1,0,0,6,6,12.0,0,6,6,11.666666666666666,0
6,1,114.0,110.2,1,0,1,1,0,0,6,5,12.2,0,6,5,12.2,1
1,0,140.0,155.7,1,0,1,1,0,0,1,0,0.0,0,5,0,0.0,1
1,1,160.0,180.4,0,1,1,1,0,6,12,6,12.166666666666666,7,12,10,13.3,1
1,0,130.0,110.0,1,0,1,0,0,0,6,6,11.0,0,6,5,11.0,0
1,1,160.0,161.0,1,0,1,0,1,0,8,7,13.08,0,8,7,13.08,0
1,1,120.0,100.0,0,0,1,0,1,0,5,4,10.5,0,5,5,11.6,0
1,1,124.0,117.6,1,0,1,1,0,0,6,6,10.666666666666666,0,6,5,11.2,0
1,1,133.1,100.8,0,0,1,1,0,0,7,0,0.0,0,7,0,0.0,1
2,1,133.1,105.0,1,0,0,0,0,0,6,6,14.0,0,6,6,13.5,0
1,1,133.1,100.0,0,0,1,0,0,0,6,2,12.0,0,6,0,0.0,1
1,1,133.1,115.5,0,0,1,0,0,0,6,3,12.666666666666666,0,6,0,0.0,1
1,0,133.1,114.0,0,0,1,0,0,2,8,8,11.875,0,6,6,12.333333333333334,0
5,1,135.0,124.9,1,0,1,0,0,0,6,6,13.666666666666666,0,6,6,13.333333333333334,0
5,1,132.0,120.3,1,0,1,0,1,0,7,7,13.75,0,8,8,14.47777777777778,0
4,1,115.0,111.5,1,1,0,0,0,0,7,4,11.96,0,7,0,0.0,1
1,1,130.0,128.8,0,0,1,0,0,7,10,8,12.875,4,9,5,13.4,1
4,1,133.1,110.0,1,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0
1,0,130.0,113.5,1,0,1,0,0,0,6,0,0.0,0,6,0,0.0,1
1,1,133.1,160.0,0,0,1,0,0,13,18,18,14.63157894736842,10,13,13,14.23076923076923,0
1,1,123.0,117.4,1,0,1,0,0,0,6,0,0.0,0,6,0,0.0,1
1,1,130.0,122.2,0,1,1,0,0,4,10,10,13.0,5,11,11,12.272727272727272,0
2,1,122.0,118.2,1,0,1,0,0,0,6,0,0.0,0,6,0,0.0,1
1,1,113.0,106.7,1,0,1,0,0,0,6,4,14.2,0,6,4,13.25,1
5,1,111.0,108.2,1,0,1,0,0,2,7,6,13.266666666666666,0,7,5,12.3,1
1,1,142.0,136.1,1,0,1,0,0,0,6,6,13.857142857142858,0,6,6,15.0,0
1,1,131.0,139.8,1,0,1,0,0,0,5,5,13.4,0,5,5,12.8,0
3,1,158.0,157.0,1,0,1,0,0,0,6,6,12.666666666666666,0,6,6,12.571428571428571,0
2,1,122.0,131.0,1,0,1,0,0,0,7,6,12.516666666666666,0,7,6,12.516666666666666,1
2,1,140.0,137.0,0,0,1,0,0,0,5,5,13.142857142857142,0,5,5,11.4,0
1,1,127.0,121.8,0,0,1,0,0,0,5,5,12.6,0,5,5,14.0,0
1,1,133.1,131.0,1,0,1,0,0,0,6,3,11.0,0,6,2,11.0,1
2,1,120.0,118.6,1,0,1,0,0,0,5,5,10.8,0,5,4,11.25,0
1,1,137.0,122.3,0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,1
1,1,131.0,127.9,0,0,1,0,1,0,5,5,12.8,0,5,5,14.2,0
1,1,130.0,121.3,1,0,1,0,0,0,6,6,14.166666666666666,0,6,6,12.2,0
6,1,122.0,117.1,1,0,1,0,0,0,7,5,12.1,0,7,0,0.0,1
1,1,160.0,160.0,1,0,1,0,0,1,6,6,14.166666666666666,1,6,5,13.77777777777778,0
3,1,131.0,122.6,1,0,1,0,0,0,6,6,13.0,0,6,6,13.666666666666666,0
6,1,132.0,128.0,1,0,1,0,0,0,7,7,13.467142857142855,0,8,8,15.011111111111113,0
3,1,138.0,124.9,1,0,1,0,1,0,7,7,13.2375,0,8,7,13.742857142857144,1
2,1,130.0,123.7,1,0,1,0,0,0,6,6,12.333333333333334,0,6,6,13.0,0
4,1,126.0,120.1,1,0,1,0,0,0,5,5,12.4,0,5,5,14.6,0
6,1,148.0,131.7,1,0,1,0,0,0,7,5,14.0,0,7,0,0.0,1
1,1,130.0,133.2,0,0,1,0,0,5,9,9,11.666666666666666,2,7,7,11.714285714285714,0
1,1,117.0,109.3,0,1,0,0,1,0,6,5,12.0,0,6,4,12.5,1
1,1,120.0,113.0,1,0,1,0,0,0,5,4,12.2,0,5,4,11.5,0
1,1,153.0,157.9,0,1,1,0,1,0,6,6,14.833333333333334,0,6,6,14.833333333333334,0
