Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole
37,1.0,Travel_Rarely,Research & Development,11,College,Medical,1,1,Healthcare Representative,2,Married,4777,5,No,15,1,0,2,1,0
51,1.0,Travel_Rarely,Research & Development,4,Master,Life Sciences,1,3,Research Scientist,3,Married,2461,9,Yes,12,3,3,2,4,0
42,0.0,Travel_Frequently,Sales,26,Bachelor Degree,Marketing,3,3,Sales Executive,2,Married,13525,5,No,14,4,1,2,4,4
40,0.0,Travel_Rarely,Sales,1,College,Medical,2,1,Sales Executive,4,Married,7457,2,Yes,22,3,3,2,2,3
55,1.0,Travel_Rarely,Research & Development,2,Bachelor Degree,Medical,4,3,Manager,1,Married,19859,5,Yes,13,4,1,2,3,2
36,0.0,Travel_Frequently,Research & Development,18,Below College,Medical,2,3,Laboratory Technician,4,Single,2153,1,No,13,1,0,2,3,1
32,0.0,Travel_Rarely,Research & Development,3,College,Life Sciences,3,3,Research Director,4,Single,11159,3,No,15,4,0,6,3,7
25,0.0,Travel_Rarely,Sales,4,Below College,Marketing,3,2,Sales Executive,1,Married,4256,1,No,12,1,0,1,4,2
20,1.0,Travel_Rarely,Research & Development,4,Bachelor Degree,Technical Degree,1,3,Laboratory Technician,1,Single,2973,1,No,19,2,0,2,3,0
42,0.0,Travel_Rarely,Research & Development,23,Doctor,Life Sciences,1,3,Research Director,4,Single,15992,2,No,14,2,0,2,3,0
31,0.0,Travel_Rarely,Research & Development,12,Bachelor Degree,Medical,4,3,Healthcare Representative,4,Married,5855,0,Yes,11,3,2,2,1,7
38,0.0,Non-Travel,Research & Development,6,Bachelor Degree,Medical,2,1,Research Scientist,4,Divorced,5329,7,Yes,12,4,3,3,3,11
39,0.0,Travel_Rarely,Research & Development,2,Master,Technical Degree,4,2,Healthcare Representative,3,Single,4553,1,No,11,1,0,4,3,7
54,0.0,Travel_Rarely,Research & Development,5,College,Medical,1,3,Research Director,1,Married,19406,4,No,11,3,1,4,2,2
49,0.0,Travel_Rarely,Research & Development,4,College,Medical,1,2,Manager,3,Married,18711,2,No,13,3,1,2,4,0
24,0.0,Travel_Rarely,Research & Development,23,Bachelor Degree,Medical,2,4,Research Scientist,4,Married,2725,1,Yes,11,2,2,3,3,5
40,0.0,Travel_Rarely,Research & Development,6,Bachelor Degree,Life Sciences,2,3,Manufacturing Director,3,Single,13237,7,No,15,3,0,3,3,6
41,0.0,Non-Travel,Sales,10,College,Life Sciences,4,3,Sales Executive,4,Single,6230,7,No,14,4,0,3,3,3
32,0.0,Travel_Rarely,Sales,8,College,Technical Degree,3,2,Sales Executive,2,Married,5228,1,Yes,11,4,0,2,3,12
24,1.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Medical,2,3,Research Scientist,4,Married,2293,2,Yes,16,1,1,2,2,0
39,0.0,Travel_Rarely,Research & Development,13,Master,Medical,3,2,Manager,2,Divorced,17123,6,Yes,13,4,2,4,3,9
59,0.0,Travel_Rarely,Human Resources,6,College,Medical,2,3,Human Resources,3,Married,2267,8,No,17,4,0,2,2,2
36,0.0,Travel_Rarely,Research & Development,14,Below College,Life Sciences,3,3,Healthcare Representative,4,Married,6586,0,Yes,17,1,1,2,2,8
30,0.0,Travel_Rarely,Research & Development,7,Master,Life Sciences,3,3,Laboratory Technician,3,Divorced,3491,1,No,13,1,3,4,2,7
38,0.0,Travel_Rarely,Human Resources,1,Bachelor Degree,Human Resources,3,4,Human Resources,3,Married,2844,1,No,13,4,1,2,4,6
28,1.0,Travel_Frequently,Sales,1,Bachelor Degree,Technical Degree,1,3,Sales Representative,3,Married,2909,3,No,15,4,1,3,4,2
31,0.0,Travel_Rarely,Research & Development,2,Master,Life Sciences,3,3,Research Scientist,4,Divorced,2695,0,Yes,18,2,1,2,1,2
36,0.0,Non-Travel,Sales,1,Doctor,Medical,4,3,Sales Executive,4,Single,6653,4,No,15,2,0,6,3,0
32,0.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Medical,1,3,Manufacturing Director,4,Married,6162,1,Yes,22,2,1,3,3,8
28,0.0,Non-Travel,Sales,4,Bachelor Degree,Medical,2,3,Sales Executive,3,Married,4221,1,No,15,2,0,3,4,4
31,1.0,Travel_Rarely,Sales,6,Master,Life Sciences,2,1,Sales Executive,3,Married,6172,4,Yes,18,2,0,3,2,7
50,0.0,Travel_Rarely,Sales,8,Master,Marketing,4,3,Sales Representative,2,Married,3875,7,No,15,4,1,2,3,2
39,0.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Medical,3,4,Healthcare Representative,4,Divorced,9613,0,No,17,1,3,5,2,10
35,0.0,Travel_Rarely,Research & Development,16,Bachelor Degree,Medical,1,4,Laboratory Technician,2,Married,2426,0,No,13,3,1,5,3,4
32,0.0,Travel_Frequently,Sales,5,College,Life Sciences,2,3,Sales Executive,2,Married,6524,1,No,14,4,1,3,3,8
26,1.0,Travel_Rarely,Research & Development,21,Bachelor Degree,Medical,1,3,Laboratory Technician,3,Divorced,2377,1,No,20,3,1,0,2,1
30,0.0,Travel_Rarely,Research & Development,2,Bachelor Degree,Life Sciences,3,2,Healthcare Representative,4,Married,4152,1,No,19,1,3,3,3,10
38,0.0,Travel_Frequently,Research & Development,23,Bachelor Degree,Life Sciences,4,2,Manufacturing Director,3,Single,9526,0,No,21,2,0,2,3,7
21,0.0,Travel_Rarely,Sales,22,Below College,Technical Degree,3,3,Sales Representative,3,Single,3447,1,No,11,3,0,2,3,2
35,0.0,Travel_Rarely,Research & Development,7,Bachelor Degree,Other,3,3,Manufacturing Director,3,Single,10221,3,No,21,2,0,3,4,5
26,0.0,Travel_Frequently,Research & Development,1,Bachelor Degree,Life Sciences,3,3,Manufacturing Director,2,Divorced,6397,1,No,20,1,1,6,1,5
31,1.0,Travel_Frequently,Research & Development,2,Bachelor Degree,Life Sciences,2,3,Laboratory Technician,4,Married,3722,6,Yes,13,3,1,2,1,2
32,0.0,Travel_Rarely,Research & Development,2,Bachelor Degree,Medical,3,3,Laboratory Technician,2,Married,2370,1,No,13,3,1,4,3,0
32,0.0,Travel_Rarely,Sales,10,Bachelor Degree,Marketing,4,3,Sales Executive,4,Single,5396,1,No,12,4,0,2,2,7
34,0.0,Travel_Rarely,Research & Development,2,Master,Life Sciences,4,2,Research Scientist,3,Divorced,2768,3,No,12,3,1,3,3,3
33,0.0,Travel_Frequently,Research & Development,5,Master,Life Sciences,4,3,Manager,2,Married,11878,6,No,11,2,2,2,3,6
47,0.0,Travel_Rarely,Research & Development,2,College,Medical,1,3,Manufacturing Director,4,Divorced,5070,5,No,13,3,3,2,3,0
30,0.0,Travel_Rarely,Research & Development,1,Bachelor Degree,Life Sciences,4,1,Laboratory Technician,3,Married,3833,3,No,21,3,2,2,3,2
58,0.0,Travel_Rarely,Research & Development,9,Bachelor Degree,Medical,2,2,Research Scientist,2,Married,3346,4,Yes,20,2,1,3,2,0
37,1.0,Travel_Rarely,Sales,1,Master,Life Sciences,1,2,Sales Executive,3,Married,10609,5,No,11,3,0,2,1,1
38,0.0,Travel_Rarely,Research & Development,9,College,Life Sciences,3,3,Laboratory Technician,4,Single,2288,1,No,12,3,0,3,3,2
43,1.0,Travel_Rarely,Sales,9,Bachelor Degree,Marketing,1,1,Sales Executive,3,Single,5346,8,No,13,2,0,2,2,3
52,0.0,Travel_Frequently,Research & Development,28,College,Medical,4,4,Manufacturing Director,3,Married,13247,2,Yes,11,2,1,3,2,3
44,0.0,Travel_Rarely,Sales,1,Doctor,Marketing,2,3,Sales Executive,1,Divorced,5454,5,Yes,21,3,1,2,2,3
59,0.0,Travel_Rarely,Research & Development,3,Bachelor Degree,Life Sciences,3,2,Research Scientist,4,Married,2177,3,No,17,1,1,6,3,0
42,0.0,Non-Travel,Research & Development,21,College,Medical,3,3,Manufacturing Director,3,Divorced,5265,2,No,16,2,1,5,3,3
45,0.0,Travel_Rarely,Sales,2,Bachelor Degree,Other,4,3,Sales Executive,2,Married,4805,0,No,19,2,1,3,4,7
21,1.0,Travel_Rarely,Research & Development,18,Below College,Other,4,3,Research Scientist,4,Single,2693,1,No,19,1,0,3,2,0
23,0.0,Travel_Rarely,Research & Development,4,Bachelor Degree,Medical,1,4,Research Scientist,1,Married,2819,2,No,16,1,1,3,4,2
54,0.0,Travel_Rarely,Sales,3,Bachelor Degree,Marketing,4,3,Sales Executive,1,Married,5940,2,No,14,4,1,4,3,2
41,0.0,Travel_Rarely,Research & Development,7,College,Technical Degree,2,4,Research Scientist,3,Married,3376,1,No,13,3,0,3,3,6
